?cls	?xref
<http://purl.obolibrary.org/obo/MONDO_0005086>	"MedDRA:10067946"
<http://purl.obolibrary.org/obo/MONDO_0005086>	"NCIT:C9385"
<http://purl.obolibrary.org/obo/MONDO_0005086>	"ICD9:189.0"
<http://purl.obolibrary.org/obo/MONDO_0002842>	"DOID:4033"
<http://purl.obolibrary.org/obo/MONDO_0002842>	"SCTID:723096000"
<http://purl.obolibrary.org/obo/MONDO_0002842>	"NCIT:C27340"
<http://purl.obolibrary.org/obo/MONDO_0002842>	"UMLS:C0948039"
<http://purl.obolibrary.org/obo/MONDO_0002412>	"UMLS:C0017919"
<http://purl.obolibrary.org/obo/MONDO_0002412>	"OMIMPS:232200"
<http://purl.obolibrary.org/obo/MONDO_0002412>	"MESH:D006008"
<http://purl.obolibrary.org/obo/MONDO_0002412>	"ICD10CM:E74.0"
<http://purl.obolibrary.org/obo/MONDO_0002412>	"MedDRA:10061990"
<http://purl.obolibrary.org/obo/MONDO_0002412>	"NCIT:C61272"
<http://purl.obolibrary.org/obo/MONDO_0002412>	"ICD9:271.0"
<http://purl.obolibrary.org/obo/MONDO_0002412>	"SCTID:29633007"
<http://purl.obolibrary.org/obo/MONDO_0002412>	"GARD:18973"
<http://purl.obolibrary.org/obo/MONDO_0002412>	"Orphanet:79201"
<http://purl.obolibrary.org/obo/MONDO_0002412>	"DOID:2747"
<http://purl.obolibrary.org/obo/MONDO_0002412>	"DOID:0050728"
<http://purl.obolibrary.org/obo/MONDO_0005369>	"ICD9:209.60"
<http://purl.obolibrary.org/obo/MONDO_0005369>	"NCIT:C2915"
<http://purl.obolibrary.org/obo/MONDO_0005369>	"HP:0100570"
<http://purl.obolibrary.org/obo/MONDO_0005369>	"MESH:D002276"
<http://purl.obolibrary.org/obo/MONDO_0005369>	"EFO:0004243"
<http://purl.obolibrary.org/obo/MONDO_0005369>	"SCTID:443492008"
<http://purl.obolibrary.org/obo/MONDO_0005369>	"ICDO:8240/3"
<http://purl.obolibrary.org/obo/MONDO_0005369>	"ICDO:8241/3"
<http://purl.obolibrary.org/obo/MONDO_0004514>	"NCIT:C34479"
<http://purl.obolibrary.org/obo/MONDO_0004514>	"DOID:8252"
<http://purl.obolibrary.org/obo/MONDO_0004514>	"SCTID:86094006"
<http://purl.obolibrary.org/obo/MONDO_0004514>	"ICD9:472.0"
<http://purl.obolibrary.org/obo/MONDO_0004514>	"UMLS:C0008711"
<http://purl.obolibrary.org/obo/MONDO_0005217>	"EFO:0002945"
<http://purl.obolibrary.org/obo/MONDO_0005217>	"ICD9:425.4"
<http://purl.obolibrary.org/obo/MONDO_0005217>	"SCTID:35728003"
<http://purl.obolibrary.org/obo/MONDO_0005217>	"UMLS:C0264789"
<http://purl.obolibrary.org/obo/MONDO_0008170>	"Orphanet:213500"
<http://purl.obolibrary.org/obo/MONDO_0008170>	"SCTID:363443007"
<http://purl.obolibrary.org/obo/MONDO_0008170>	"ICD9:183.0"
<http://purl.obolibrary.org/obo/MONDO_0008170>	"GARD:7295"
<http://purl.obolibrary.org/obo/MONDO_0008170>	"OMIM:167000"
<http://purl.obolibrary.org/obo/MONDO_0008170>	"MESH:D010051"
<http://purl.obolibrary.org/obo/MONDO_0008170>	"DOID:2394"
<http://purl.obolibrary.org/obo/MONDO_0008170>	"NCIT:C7431"
<http://purl.obolibrary.org/obo/MONDO_0001673>	"UMLS:C0013369"
<http://purl.obolibrary.org/obo/MONDO_0001673>	"SCTID:128333008"
<http://purl.obolibrary.org/obo/MONDO_0001673>	"MESH:D003967"
<http://purl.obolibrary.org/obo/MONDO_0001673>	"NCIT:C2987"
<http://purl.obolibrary.org/obo/MONDO_0001673>	"HP:0002014"
<http://purl.obolibrary.org/obo/MONDO_0001673>	"DOID:13250"
<http://purl.obolibrary.org/obo/MONDO_0001673>	"SCTID:111939009"
<http://purl.obolibrary.org/obo/MONDO_0001673>	"ICD9:009.2"
<http://purl.obolibrary.org/obo/MONDO_0005192>	"SCTID:372142002"
<http://purl.obolibrary.org/obo/MONDO_0005192>	"UMLS:C0235974"
<http://purl.obolibrary.org/obo/MONDO_0005192>	"DOID:4905"
<http://purl.obolibrary.org/obo/MONDO_0005192>	"NCIT:C3850"
<http://purl.obolibrary.org/obo/MONDO_0005192>	"EFO:0002618"
<http://purl.obolibrary.org/obo/MONDO_0006025>	"DOID:0050737"
<http://purl.obolibrary.org/obo/MONDO_0006025>	"UMLS:C0265388"
<http://purl.obolibrary.org/obo/MONDO_0006025>	"ICD9:758.5"
<http://purl.obolibrary.org/obo/MONDO_0006025>	"EFO:1000017"
<http://purl.obolibrary.org/obo/MONDO_0006025>	"SCTID:85995004"
<http://purl.obolibrary.org/obo/MONDO_0043494>	"EFO:0009011"
<http://purl.obolibrary.org/obo/MONDO_0043494>	"HP:0012089"
<http://purl.obolibrary.org/obo/MONDO_0043494>	"MESH:D001167"
<http://purl.obolibrary.org/obo/MONDO_0043494>	"SCTID:52089001"
<http://purl.obolibrary.org/obo/MONDO_0043494>	"NCIT:C34399"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"SCTID:4556007"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"ICD9:535.01"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"DOID:4029"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"UMLS:C0017152"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"ICD9:535.4"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"MESH:D005756"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"EFO:0000217"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"NCIT:C26780"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"ICD9:535.40"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"HP:0005263"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"ICD9:535.00"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"ICD9:535.41"
<http://purl.obolibrary.org/obo/MONDO_0004966>	"ICD9:535.0"
<http://purl.obolibrary.org/obo/MONDO_0019214>	"GARD:18946"
<http://purl.obolibrary.org/obo/MONDO_0019214>	"EFO:1000061"
<http://purl.obolibrary.org/obo/MONDO_0019214>	"MESH:D002239"
<http://purl.obolibrary.org/obo/MONDO_0019214>	"ICD9:271.8"
<http://purl.obolibrary.org/obo/MONDO_0019214>	"NCIT:C97089"
<http://purl.obolibrary.org/obo/MONDO_0019214>	"Orphanet:79161"
<http://purl.obolibrary.org/obo/MONDO_0019214>	"DOID:2978"
<http://purl.obolibrary.org/obo/MONDO_0019214>	"MedDRA:10061023"
<http://purl.obolibrary.org/obo/MONDO_0002494>	"ICD10CM:F10-F19"
<http://purl.obolibrary.org/obo/MONDO_0002494>	"MESH:D019966"
<http://purl.obolibrary.org/obo/MONDO_0002494>	"DOID:303"
<http://purl.obolibrary.org/obo/MONDO_0002494>	"NCIT:C92203"
<http://purl.obolibrary.org/obo/MONDO_0002565>	"UMLS:C0026975"
<http://purl.obolibrary.org/obo/MONDO_0002565>	"MESH:D009187"
<http://purl.obolibrary.org/obo/MONDO_0002565>	"NCIT:C26832"
<http://purl.obolibrary.org/obo/MONDO_0002565>	"SCTID:41370002"
<http://purl.obolibrary.org/obo/MONDO_0002565>	"DOID:322"
<http://purl.obolibrary.org/obo/MONDO_0002565>	"ICD9:323.9"
<http://purl.obolibrary.org/obo/MONDO_0002565>	"EFO:1001472"
<http://purl.obolibrary.org/obo/MONDO_0005147>	"Orphanet:243377"
<http://purl.obolibrary.org/obo/MONDO_0005147>	"MESH:D003922"
<http://purl.obolibrary.org/obo/MONDO_0005147>	"NCIT:C2986"
<http://purl.obolibrary.org/obo/MONDO_0005147>	"EFO:0001359"
<http://purl.obolibrary.org/obo/MONDO_0005147>	"SCTID:46635009"
<http://purl.obolibrary.org/obo/MONDO_0005147>	"OMIM:222100"
<http://purl.obolibrary.org/obo/MONDO_0005147>	"DOID:9744"
<http://purl.obolibrary.org/obo/MONDO_0030703>	"DOID:0040097"
<http://purl.obolibrary.org/obo/MONDO_0030703>	"SCTID:427213005"
<http://purl.obolibrary.org/obo/MONDO_0030703>	"UMLS:C1328843"
<http://purl.obolibrary.org/obo/MONDO_0001493>	"UMLS:C0238074"
<http://purl.obolibrary.org/obo/MONDO_0001493>	"DOID:12326"
<http://purl.obolibrary.org/obo/MONDO_0001493>	"SCTID:87837008"
<http://purl.obolibrary.org/obo/MONDO_0001493>	"ICD9:416.9"
<http://purl.obolibrary.org/obo/MONDO_0001493>	"ICD9:416.8"
<http://purl.obolibrary.org/obo/MONDO_0001493>	"NCIT:C34478"
<http://purl.obolibrary.org/obo/MONDO_0056806>	"SCTID:723301009"
<http://purl.obolibrary.org/obo/MONDO_0056806>	"NCIT:C133254"
<http://purl.obolibrary.org/obo/MONDO_0056806>	"DOID:0080521"
<http://purl.obolibrary.org/obo/MONDO_0002633>	"UMLS:C0010267"
<http://purl.obolibrary.org/obo/MONDO_0002633>	"DOID:338"
<http://purl.obolibrary.org/obo/MONDO_0002633>	"MESH:D003390"
<http://purl.obolibrary.org/obo/MONDO_0002633>	"ICD9:239.7"
<http://purl.obolibrary.org/obo/MONDO_0002633>	"SCTID:126966009"
<http://purl.obolibrary.org/obo/MONDO_0002633>	"NCIT:C2963"
<http://purl.obolibrary.org/obo/MONDO_0021248>	"NCIT:C3268"
<http://purl.obolibrary.org/obo/MONDO_0004786>	"UMLS:C0267918"
<http://purl.obolibrary.org/obo/MONDO_0004786>	"SCTID:71912000"
<http://purl.obolibrary.org/obo/MONDO_0004786>	"NCIT:C35335"
<http://purl.obolibrary.org/obo/MONDO_0004786>	"DOID:9439"
<http://purl.obolibrary.org/obo/MONDO_0021089>	"NCIT:C4961"
<http://purl.obolibrary.org/obo/MONDO_0021089>	"ICD9:171.9"
<http://purl.obolibrary.org/obo/MONDO_0021089>	"SCTID:254986007"
<http://purl.obolibrary.org/obo/MONDO_0021089>	"UMLS:C0751428"
<http://purl.obolibrary.org/obo/MONDO_0003916>	"MESH:D044343"
<http://purl.obolibrary.org/obo/MONDO_0003916>	"SCTID:302872003"
<http://purl.obolibrary.org/obo/MONDO_0003916>	"ICD9:278.8"
<http://purl.obolibrary.org/obo/MONDO_0003916>	"UMLS:C1257763"
<http://purl.obolibrary.org/obo/MONDO_0003916>	"DOID:654"
<http://purl.obolibrary.org/obo/MONDO_0018502>	"GARD:21758"
<http://purl.obolibrary.org/obo/MONDO_0018502>	"Orphanet:423776"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"UMLS:C0546837"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"ICD9:150.5"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"SCTID:363402007"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"NCIT:C4764"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"NCIT:C7478"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"ICD9:150.8"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"UMLS:C0496775"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"ICD9:150.2"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"DOID:5041"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"OMIM:133239"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"ICD9:150.9"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"SCTID:187724003"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"ICD9:150.4"
<http://purl.obolibrary.org/obo/MONDO_0007576>	"ICD9:150.3"
<http://purl.obolibrary.org/obo/MONDO_0003198>	"SCTID:424440001"
<http://purl.obolibrary.org/obo/MONDO_0003198>	"EFO:1000532"
<http://purl.obolibrary.org/obo/MONDO_0003198>	"NCIT:C7888"
<http://purl.obolibrary.org/obo/MONDO_0003198>	"UMLS:C0278803"
<http://purl.obolibrary.org/obo/MONDO_0003198>	"DOID:4906"
<http://purl.obolibrary.org/obo/MONDO_0003198>	"GARD:19851"
<http://purl.obolibrary.org/obo/MONDO_0003198>	"Orphanet:104075"
<http://purl.obolibrary.org/obo/MONDO_0006796>	"DOID:9427"
<http://purl.obolibrary.org/obo/MONDO_0006796>	"MESH:D020343"
<http://purl.obolibrary.org/obo/MONDO_0006796>	"EFO:1000976"
<http://purl.obolibrary.org/obo/MONDO_0006796>	"SCTID:50490005"
<http://purl.obolibrary.org/obo/MONDO_0006796>	"ICD9:437.2"
<http://purl.obolibrary.org/obo/MONDO_0006796>	"MedDRA:10020803"
<http://purl.obolibrary.org/obo/MONDO_0006796>	"NCIT:C3503"
<http://purl.obolibrary.org/obo/MONDO_0006796>	"UMLS:C0151620"
<http://purl.obolibrary.org/obo/MONDO_0006796>	"ICD10CM:I67.4"
<http://purl.obolibrary.org/obo/MONDO_0031012>	"DOID:0040088"
<http://purl.obolibrary.org/obo/MONDO_0020640>	"SCTID:95643007"
<http://purl.obolibrary.org/obo/MONDO_0020640>	"GARD:11979"
<http://purl.obolibrary.org/obo/MONDO_0020640>	"Orphanet:622014"
<http://purl.obolibrary.org/obo/MONDO_0020640>	"NCIT:C122414"
<http://purl.obolibrary.org/obo/MONDO_0002118>	"ICD9:V47.4"
<http://purl.obolibrary.org/obo/MONDO_0002118>	"MESH:D014570"
<http://purl.obolibrary.org/obo/MONDO_0002118>	"SCTID:128606002"
<http://purl.obolibrary.org/obo/MONDO_0002118>	"NCIT:C3430"
<http://purl.obolibrary.org/obo/MONDO_0002118>	"UMLS:C0042075"
<http://purl.obolibrary.org/obo/MONDO_0002118>	"DOID:18"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"UMLS:C0002880"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"ICD9:283.0"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"NCIT:C34378"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"NORD:774"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"OMIM:205700"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"DOID:718"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"GARD:5870"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"Orphanet:98375"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"SCTID:413603009"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"EFO:1001264"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"MedDRA:10002046"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"MESH:D000744"
<http://purl.obolibrary.org/obo/MONDO_0020108>	"CSP:0427-1178"
<http://purl.obolibrary.org/obo/MONDO_0021068>	"SCTID:123843001"
<http://purl.obolibrary.org/obo/MONDO_0021068>	"UMLS:C0919267"
<http://purl.obolibrary.org/obo/MONDO_0021068>	"NCIT:C4984"
<http://purl.obolibrary.org/obo/MONDO_0021068>	"ICD9:239.5"
<http://purl.obolibrary.org/obo/MONDO_0021234>	"NCIT:C3381"
<http://purl.obolibrary.org/obo/MONDO_0021234>	"MESH:D013120"
<http://purl.obolibrary.org/obo/MONDO_0021234>	"UMLS:C0037930"
<http://purl.obolibrary.org/obo/MONDO_0000224>	"DOID:0050013"
<http://purl.obolibrary.org/obo/MONDO_0003363>	"UMLS:C0346811"
<http://purl.obolibrary.org/obo/MONDO_0003363>	"SCTID:255096006"
<http://purl.obolibrary.org/obo/MONDO_0003363>	"NCIT:C4574"
<http://purl.obolibrary.org/obo/MONDO_0003363>	"DOID:5274"
<http://purl.obolibrary.org/obo/MONDO_0004727>	"SCTID:187658004"
<http://purl.obolibrary.org/obo/MONDO_0004727>	"ICD10CM:C06.1"
<http://purl.obolibrary.org/obo/MONDO_0004727>	"UMLS:C0153374"
<http://purl.obolibrary.org/obo/MONDO_0004727>	"DOID:9188"
<http://purl.obolibrary.org/obo/MONDO_0004727>	"ICD9:145.1"
<http://purl.obolibrary.org/obo/MONDO_0004255>	"DOID:7514"
<http://purl.obolibrary.org/obo/MONDO_0004255>	"UMLS:C1520159"
<http://purl.obolibrary.org/obo/MONDO_0004255>	"MESH:C536741"
<http://purl.obolibrary.org/obo/MONDO_0004255>	"NCIT:C40141"
<http://purl.obolibrary.org/obo/MONDO_0018751>	"Orphanet:466084"
<http://purl.obolibrary.org/obo/MONDO_0018751>	"UMLS:CN242186"
<http://purl.obolibrary.org/obo/MONDO_0018751>	"GARD:21935"
<http://purl.obolibrary.org/obo/MONDO_0003749>	"SCTID:37657006"
<http://purl.obolibrary.org/obo/MONDO_0003749>	"SCTID:30811009"
<http://purl.obolibrary.org/obo/MONDO_0003749>	"DOID:6050"
<http://purl.obolibrary.org/obo/MONDO_0003749>	"UMLS:C0014852"
<http://purl.obolibrary.org/obo/MONDO_0003749>	"ICD9:530"
<http://purl.obolibrary.org/obo/MONDO_0003749>	"NCIT:C3027"
<http://purl.obolibrary.org/obo/MONDO_0003749>	"ICD9:530.20"
<http://purl.obolibrary.org/obo/MONDO_0003749>	"MESH:D004935"
<http://purl.obolibrary.org/obo/MONDO_0003749>	"ICD9:530.2"
<http://purl.obolibrary.org/obo/MONDO_0003749>	"ICD9:530.9"
<http://purl.obolibrary.org/obo/MONDO_0006290>	"EFO:1000352"
<http://purl.obolibrary.org/obo/MONDO_0006290>	"UMLS:C4048549"
<http://purl.obolibrary.org/obo/MONDO_0006290>	"SCTID:145831000119103"
<http://purl.obolibrary.org/obo/MONDO_0006290>	"NCIT:C4925"
<http://purl.obolibrary.org/obo/MONDO_0006519>	"NCIT:C7418"
<http://purl.obolibrary.org/obo/MONDO_0006519>	"ICD9:154.1"
<http://purl.obolibrary.org/obo/MONDO_0006519>	"SCTID:363351006"
<http://purl.obolibrary.org/obo/MONDO_0006519>	"DOID:1993"
<http://purl.obolibrary.org/obo/MONDO_0006519>	"EFO:1000657"
<http://purl.obolibrary.org/obo/MONDO_0021375>	"SCTID:126833009"
<http://purl.obolibrary.org/obo/MONDO_0021375>	"NCIT:C2995"
<http://purl.obolibrary.org/obo/MONDO_0000514>	"DOID:0050896"
<http://purl.obolibrary.org/obo/MONDO_0017146>	"Orphanet:275752"
<http://purl.obolibrary.org/obo/MONDO_0017146>	"GARD:21024"
<http://purl.obolibrary.org/obo/MONDO_0017146>	"UMLS:CN202572"
<http://purl.obolibrary.org/obo/MONDO_0020584>	"NCIT:C35472"
<http://purl.obolibrary.org/obo/MONDO_0020584>	"UMLS:C0494226"
<http://purl.obolibrary.org/obo/MONDO_0023644>	"NCIT:C9315"
<http://purl.obolibrary.org/obo/MONDO_0023644>	"UMLS:C0220641"
<http://purl.obolibrary.org/obo/MONDO_0003802>	"NCIT:C3565"
<http://purl.obolibrary.org/obo/MONDO_0003802>	"SCTID:363464006"
<http://purl.obolibrary.org/obo/MONDO_0003802>	"DOID:6199"
<http://purl.obolibrary.org/obo/MONDO_0003802>	"ICD9:190.4"
<http://purl.obolibrary.org/obo/MONDO_0003802>	"UMLS:C0153629"
<http://purl.obolibrary.org/obo/MONDO_0002514>	"EFO:0008550"
<http://purl.obolibrary.org/obo/MONDO_0002514>	"NCIT:C8614"
<http://purl.obolibrary.org/obo/MONDO_0002514>	"DOID:0080355"
<http://purl.obolibrary.org/obo/MONDO_0002514>	"UMLS:C0854196"
<http://purl.obolibrary.org/obo/MONDO_0002514>	"DOID:3117"
<http://purl.obolibrary.org/obo/MONDO_0044937>	"NCIT:C9382"
<http://purl.obolibrary.org/obo/MONDO_0007179>	"MESH:D001327"
<http://purl.obolibrary.org/obo/MONDO_0007179>	"NCIT:C2889"
<http://purl.obolibrary.org/obo/MONDO_0007179>	"UMLS:C0004364"
<http://purl.obolibrary.org/obo/MONDO_0007179>	"OMIM:109100"
<http://purl.obolibrary.org/obo/MONDO_0007179>	"EFO:0005140"
<http://purl.obolibrary.org/obo/MONDO_0007179>	"ICD9:279.49"
<http://purl.obolibrary.org/obo/MONDO_0007179>	"ICD9:279.4"
<http://purl.obolibrary.org/obo/MONDO_0007179>	"DOID:417"
<http://purl.obolibrary.org/obo/MONDO_0007179>	"ICD9:720"
<http://purl.obolibrary.org/obo/MONDO_0007179>	"OBI:1110054"
<http://purl.obolibrary.org/obo/MONDO_0007179>	"SCTID:85828009"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"MESH:D006402"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"ICD10CM:D50-D89"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"SCTID:414022008"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"GTR:AN1320635"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"UMLS:C0018939"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"ICD9:289.8"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"Orphanet:97992"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"NCIT:C26323"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"EFO:0005803"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"DOID:74"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"ICD9:280-289.99"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"GARD:22522"
<http://purl.obolibrary.org/obo/MONDO_0005570>	"ICD9:289.9"
<http://purl.obolibrary.org/obo/MONDO_0022410>	"Orphanet:156165"
<http://purl.obolibrary.org/obo/MONDO_0022410>	"GARD:19987"
<http://purl.obolibrary.org/obo/MONDO_0019755>	"ICD9:759.7"
<http://purl.obolibrary.org/obo/MONDO_0019755>	"SCTID:400038003"
<http://purl.obolibrary.org/obo/MONDO_0019755>	"GARD:22513"
<http://purl.obolibrary.org/obo/MONDO_0019755>	"NCIT:C99267"
<http://purl.obolibrary.org/obo/MONDO_0019755>	"Orphanet:93890"
<http://purl.obolibrary.org/obo/MONDO_0006186>	"DOID:10816"
<http://purl.obolibrary.org/obo/MONDO_0006186>	"NCIT:C7889"
<http://purl.obolibrary.org/obo/MONDO_0006186>	"UMLS:C0278804"
<http://purl.obolibrary.org/obo/MONDO_0006186>	"ONCOTREE:DA"
<http://purl.obolibrary.org/obo/MONDO_0006186>	"EFO:1000223"
<http://purl.obolibrary.org/obo/MONDO_0006186>	"SCTID:408644002"
<http://purl.obolibrary.org/obo/MONDO_0004625>	"DOID:864"
<http://purl.obolibrary.org/obo/MONDO_0004625>	"MESH:D010689"
<http://purl.obolibrary.org/obo/MONDO_0004625>	"SCTID:61599003"
<http://purl.obolibrary.org/obo/MONDO_0004625>	"EFO:1001395"
<http://purl.obolibrary.org/obo/MONDO_0004625>	"NCIT:C38003"
<http://purl.obolibrary.org/obo/MONDO_0002466>	"UMLS:C0848866"
<http://purl.obolibrary.org/obo/MONDO_0002466>	"DOID:295"
<http://purl.obolibrary.org/obo/MONDO_0002466>	"NCIT:C6079"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"SCTID:363346000"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"DOID:0050687"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"DOID:0050686"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"ICDO:8000/3"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"UMLS:C0006826"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"ICD9:199.1"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"NCIT:C9305"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"ICD9:195.8"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"NIFSTD:birnlex_406"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"ICD9:199"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"ONCOTREE:MT"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"EFO:0000311"
<http://purl.obolibrary.org/obo/MONDO_0004992>	"DOID:162"
<http://purl.obolibrary.org/obo/MONDO_0005300>	"DOID:784"
<http://purl.obolibrary.org/obo/MONDO_0005300>	"SCTID:709044004"
<http://purl.obolibrary.org/obo/MONDO_0005300>	"MESH:D007676"
<http://purl.obolibrary.org/obo/MONDO_0005300>	"EFO:0003884"
<http://purl.obolibrary.org/obo/MONDO_0005300>	"NCIT:C80078"
<http://purl.obolibrary.org/obo/MONDO_0005300>	"ICD10CM:N18.9"
<http://purl.obolibrary.org/obo/MONDO_0005300>	"ICD9:585"
<http://purl.obolibrary.org/obo/MONDO_0005300>	"UMLS:C1561643"
<http://purl.obolibrary.org/obo/MONDO_0005300>	"ICD9:585.6"
<http://purl.obolibrary.org/obo/MONDO_0017181>	"HP:0012459"
<http://purl.obolibrary.org/obo/MONDO_0017181>	"MESH:D051270"
<http://purl.obolibrary.org/obo/MONDO_0017181>	"Orphanet:276429"
<http://purl.obolibrary.org/obo/MONDO_0017181>	"ICD9:339.81"
<http://purl.obolibrary.org/obo/MONDO_0017181>	"GARD:10796"
<http://purl.obolibrary.org/obo/MONDO_0017181>	"SCTID:122711000119109"
<http://purl.obolibrary.org/obo/MONDO_0020950>	"MESH:D015828"
<http://purl.obolibrary.org/obo/MONDO_0020950>	"UMLS:C0015407"
<http://purl.obolibrary.org/obo/MONDO_0020950>	"SCTID:312132001"
<http://purl.obolibrary.org/obo/MONDO_0002131>	"EFO:0007333"
<http://purl.obolibrary.org/obo/MONDO_0002131>	"SCTID:126634001"
<http://purl.obolibrary.org/obo/MONDO_0002131>	"DOID:1862"
<http://purl.obolibrary.org/obo/MONDO_0002131>	"MESH:D007573"
<http://purl.obolibrary.org/obo/MONDO_0024757>	"NCIT:C4784"
<http://purl.obolibrary.org/obo/MONDO_0024757>	"SCTID:721573003"
<http://purl.obolibrary.org/obo/MONDO_0024757>	"UMLS:C0497243"
<http://purl.obolibrary.org/obo/MONDO_0002883>	"DOID:4119"
<http://purl.obolibrary.org/obo/MONDO_0002883>	"NCIT:C5695"
<http://purl.obolibrary.org/obo/MONDO_0002883>	"UMLS:C1334231"
<http://purl.obolibrary.org/obo/MONDO_0006009>	"MedDRA:10058805"
<http://purl.obolibrary.org/obo/MONDO_0006009>	"Orphanet:98252"
<http://purl.obolibrary.org/obo/MONDO_0006009>	"EFO:0007538"
<http://purl.obolibrary.org/obo/MONDO_0006009>	"NCIT:C35302"
<http://purl.obolibrary.org/obo/MONDO_0006009>	"DOID:646"
<http://purl.obolibrary.org/obo/MONDO_0006009>	"SCTID:34476008"
<http://purl.obolibrary.org/obo/MONDO_0006009>	"UMLS:C0243010"
<http://purl.obolibrary.org/obo/MONDO_0006009>	"GARD:19433"
<http://purl.obolibrary.org/obo/MONDO_0100081>	"NCIT:C3376"
<http://purl.obolibrary.org/obo/MONDO_0005627>	"UMLS:C0278996"
<http://purl.obolibrary.org/obo/MONDO_0005627>	"DOID:11934"
<http://purl.obolibrary.org/obo/MONDO_0005627>	"EFO:0006859"
<http://purl.obolibrary.org/obo/MONDO_0005627>	"NCIT:C4013"
<http://purl.obolibrary.org/obo/MONDO_0023865>	"NCIT:C83813"
<http://purl.obolibrary.org/obo/MONDO_0023865>	"Orphanet:519278"
<http://purl.obolibrary.org/obo/MONDO_0023865>	"GARD:22085"
<http://purl.obolibrary.org/obo/MONDO_0023865>	"SCTID:312428002"
<http://purl.obolibrary.org/obo/MONDO_0023865>	"UMLS:C0729777"
<http://purl.obolibrary.org/obo/MONDO_0002659>	"DOID:3479"
<http://purl.obolibrary.org/obo/MONDO_0002659>	"UMLS:C3665670"
<http://purl.obolibrary.org/obo/MONDO_0002659>	"EFO:1001230"
<http://purl.obolibrary.org/obo/MONDO_0002659>	"NCIT:C6105"
<http://purl.obolibrary.org/obo/MONDO_0021163>	"SCTID:126880001"
<http://purl.obolibrary.org/obo/MONDO_0021163>	"ICD9:239.5"
<http://purl.obolibrary.org/obo/MONDO_0021163>	"NCIT:C3150"
<http://purl.obolibrary.org/obo/MONDO_0021163>	"ONCOTREE:KIDNEY"
<http://purl.obolibrary.org/obo/MONDO_0024355>	"ICD9:519.8"
