?cls	?xref
<http://purl.obolibrary.org/obo/MONDO_0018918>	"UMLS:C5566557"
<http://purl.obolibrary.org/obo/MONDO_0018918>	"GARD:18850"
<http://purl.obolibrary.org/obo/MONDO_0018918>	"UMLS:C0153452"
<http://purl.obolibrary.org/obo/MONDO_0018918>	"UMLS:C0235782"
<http://purl.obolibrary.org/obo/MONDO_0018918>	"Orphanet:56044"
<http://purl.obolibrary.org/obo/MONDO_0005001>	"ICD9:535.4"
<http://purl.obolibrary.org/obo/MONDO_0005001>	"NCIT:C26929"
<http://purl.obolibrary.org/obo/MONDO_0005001>	"HP:0005231"
<http://purl.obolibrary.org/obo/MONDO_0005001>	"ICD9:535.41"
<http://purl.obolibrary.org/obo/MONDO_0005001>	"ICD9:535.40"
<http://purl.obolibrary.org/obo/MONDO_0005001>	"UMLS:C0085695"
<http://purl.obolibrary.org/obo/MONDO_0005001>	"SCTID:8493009"
<http://purl.obolibrary.org/obo/MONDO_0005001>	"EFO:0000337"
<http://purl.obolibrary.org/obo/MONDO_0024278>	"UMLS:C0033247"
<http://purl.obolibrary.org/obo/MONDO_0024278>	"SCTID:418130002"
<http://purl.obolibrary.org/obo/MONDO_0024278>	"NCIT:C77952"
<http://purl.obolibrary.org/obo/MONDO_0024278>	"MESH:D011350"
<http://purl.obolibrary.org/obo/MONDO_0005264>	"NCIT:C50781"
<http://purl.obolibrary.org/obo/MONDO_0005264>	"ICD9:435.9"
<http://purl.obolibrary.org/obo/MONDO_0005264>	"SCTID:266257000"
<http://purl.obolibrary.org/obo/MONDO_0005264>	"DOID:224"
<http://purl.obolibrary.org/obo/MONDO_0005264>	"EFO:0003764"
<http://purl.obolibrary.org/obo/MONDO_0005264>	"ICD9:435.8"
<http://purl.obolibrary.org/obo/MONDO_0005264>	"ICD9:435"
<http://purl.obolibrary.org/obo/MONDO_0005264>	"MESH:D002546"
<http://purl.obolibrary.org/obo/MONDO_0005264>	"HP:0002326"
<http://purl.obolibrary.org/obo/MONDO_0021193>	"ONCOTREE:PRNET"
<http://purl.obolibrary.org/obo/MONDO_0021193>	"NCIT:C3787"
<http://purl.obolibrary.org/obo/MONDO_0021193>	"MESH:D018302"
<http://purl.obolibrary.org/obo/MONDO_0015063>	"UMLS:C4525619"
<http://purl.obolibrary.org/obo/MONDO_0015063>	"Orphanet:100076"
<http://purl.obolibrary.org/obo/MONDO_0015063>	"GARD:19751"
<http://purl.obolibrary.org/obo/MONDO_0015063>	"NCIT:C135080"
<http://purl.obolibrary.org/obo/MONDO_0019963>	"Orphanet:97287"
<http://purl.obolibrary.org/obo/MONDO_0019963>	"GARD:19360"
<http://purl.obolibrary.org/obo/MONDO_0000489>	"DOID:0050850"
<http://purl.obolibrary.org/obo/MONDO_0006227>	"NCIT:C4635"
<http://purl.obolibrary.org/obo/MONDO_0006227>	"EFO:1000275"
<http://purl.obolibrary.org/obo/MONDO_0006227>	"UMLS:C0349529"
<http://purl.obolibrary.org/obo/MONDO_0005499>	"SCTID:254937005"
<http://purl.obolibrary.org/obo/MONDO_0005499>	"EFO:0005543"
<http://purl.obolibrary.org/obo/MONDO_0005499>	"DOID:0060108"
<http://purl.obolibrary.org/obo/MONDO_0005499>	"UMLS:C0349661"
<http://purl.obolibrary.org/obo/MONDO_0024644>	"MESH:D017202"
<http://purl.obolibrary.org/obo/MONDO_0024644>	"EFO:1001375"
<http://purl.obolibrary.org/obo/MONDO_0024644>	"ICD10CM:I20-I25"
<http://purl.obolibrary.org/obo/MONDO_0024644>	"UMLS:C0151744"
<http://purl.obolibrary.org/obo/MONDO_0024644>	"NCIT:C50625"
<http://purl.obolibrary.org/obo/MONDO_0024644>	"SCTID:414545008"
<http://purl.obolibrary.org/obo/MONDO_0005084>	"NCIT:C2893"
<http://purl.obolibrary.org/obo/MONDO_0005084>	"MESH:D001523"
<http://purl.obolibrary.org/obo/MONDO_0005084>	"EFO:0000677"
<http://purl.obolibrary.org/obo/MONDO_0005084>	"UMLS:C0004936"
<http://purl.obolibrary.org/obo/MONDO_0005084>	"SCTID:74732009"
<http://purl.obolibrary.org/obo/MONDO_0005084>	"DOID:150"
<http://purl.obolibrary.org/obo/MONDO_0005084>	"ICD9:V11.9"
<http://purl.obolibrary.org/obo/MONDO_0005084>	"NIFSTD:birnlex_12669"
<http://purl.obolibrary.org/obo/MONDO_0005084>	"ICD9:298.8"
<http://purl.obolibrary.org/obo/MONDO_0005084>	"ICD9:290-299.99"
<http://purl.obolibrary.org/obo/MONDO_0002314>	"DOID:2475"
<http://purl.obolibrary.org/obo/MONDO_0002314>	"UMLS:C0155145"
